cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,Latitud,Longitud,distance_border_km,rank_border,prioridad_frontera
81870006,EMILIA RODAT II,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.359899520874,-58.401382446289006,96.27918571933034,1241,MEDIA
81870005,EMILIA RODAT I,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.359899520874,-58.401382446289006,96.27918571933034,1242,MEDIA
80720086,ANTONIO CHIRIOTTO,HUARINA,RURAL,La Paz,Abierta,-16.21029097981362,-68.69925230741552,96.28480589273568,1243,MEDIA
62470053,ALEGRIA,AROYO GRANDE(C. FILADELFIA)/ SAN PABLO (C. SAN PEDRO),RURAL,Pando,Abierta,-11.487000465393,-68.71717834472702,96.30723570350865,1244,MEDIA
81870055,VIADOR MORENO PEÑA II,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.355244474280063,-58.40252715349186,96.40375397921281,1245,MEDIA
81870003,VIADOR MORENO PEÑA,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.355244474280063,-58.40252715349186,96.40375397921281,1246,MEDIA
81870004,WALTER OTTO NETZ,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.363273655295767,-58.40281581878645,96.43062102089624,1247,MEDIA
80680007,SOQUE,SORATA,RURAL,La Paz,Abierta,-15.667191621233696,-68.70020008087192,96.44422349142229,1248,MEDIA
62470048,MODESTO COLQUE,AROYO GRANDE(C. FILADELFIA)/ SAN PABLO (C. SAN PEDRO),RURAL,Pando,Abierta,-11.381400108337,-68.71578979492199,96.49467695408936,1249,MEDIA
80720141,CHINTA,ACHACACHI,RURAL,La Paz,Abierta,-15.939545662214,-68.69839012622799,96.50829194001335,1250,MEDIA
60690014,PUCARA,AUCAPATA,RURAL,La Paz,Abierta,-15.45084794866628,-68.70030403137173,96.53451926616414,1251,MEDIA
60710010,COLINA BLANCA,CALACOTO,RURAL,La Paz,Abierta,-17.235020946148225,-68.69152307510377,96.59058101879424,1252,MEDIA
80680008,TINTILAYA,SORATA,RURAL,La Paz,Abierta,-15.708194334501403,-68.69806146621704,96.65402054841479,1253,MEDIA
80670092,RIO BENI,APOLO,RURAL,La Paz,Abierta,-13.9497757210623,-68.7050537410415,96.6872066639652,1254,MEDIA
60690003,CHARAJ,AUCAPATA,RURAL,La Paz,Abierta,-15.464099884033203,-68.69831085205078,96.7421934852668,1255,MEDIA
80680017,POCOBAYA,SORATA,RURAL,La Paz,Abierta,-15.78030014038086,-68.69631958007812,96.80633320427069,1256,MEDIA
80720051,DON BOSCO DE CHIJIPINA CHICO,ACHACACHI,RURAL,La Paz,Abierta,-15.983699798583984,-68.69537353515625,96.8098468107994,1257,MEDIA
72220077,18 DE JUNIO,GUAYARAMERIN,RURAL,Beni,Abierta,-10.570199966430664,-65.44200134277344,96.8706602630616,1258,MEDIA
80620007,ELIZARDO PEREZ,PUCARANI,RURAL,La Paz,Abierta,-16.440505791468,-68.69264411926201,96.87710352213944,1259,MEDIA
80720050,ANTOFAGASTA,ACHACACHI,RURAL,La Paz,Abierta,-15.996100425720217,-68.6946792602539,96.87813707305155,1260,MEDIA
62470005,HOLANDA,AROYO GRANDE(C. FILADELFIA)/ SAN PABLO (C. SAN PEDRO),RURAL,Pando,Abierta,-11.763963529489216,-68.7110536098482,96.8789901571654,1261,MEDIA
60690001,YANAHUAYA,AUCAPATA,RURAL,La Paz,Abierta,-15.45400047302246,-68.6968994140625,96.89835007754762,1262,MEDIA
81870007,MCAL. ANDRES DE SANTA CRUZ,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.367875201540713,-58.40791070461319,96.97252355173588,1263,MEDIA
80720140,LLASARAYA,ACHACACHI,RURAL,La Paz,Abierta,-15.92770004272461,-68.69390106201172,96.99452607243977,1264,MEDIA
81200003,CULTA,CURAHUARA DE CARANGAS,RURAL,Oruro,Abierta,-18.020069032193,-68.68294221162802,97.07932999871811,1265,MEDIA
